name,company,summary,locations_joined,city_guess,name_key,industry,role_family,seniority,core_skills,education_required,languages_required,employment_type,confidence,years_min,years_max
Trưởng Phòng Kho Vận Thu Nhập Từ 30 - 40 Triệu/tháng - Đi Làm Ngay,CÔNG TY TNHH THỜI TRANG CALIE HOUSE,"- Develops and implements nationwide logistics network strategy.
- Establishes operating procedures and performance metrics (SOPs, KPIs).
- Optimizes warehouse management systems, workflows, and processes.
- Manages inventory risks, including stockouts, damage, fraud, and slow-moving goods.
- Develops multi-channel logistics strategies for in-store and customer deliveries.
- Negotiates with and optimizes partnerships with delivery providers.
- Redesign and streamlines warehouse layout and material flow.
- Develops and implements standard operating procedures (SOPs).
- Builds and develops a capable team of warehouse and logistics professionals.
- 3–5 years of experience in warehouse management or a related field, experience with e-commerce platforms (Shopee, Tiki) is preferred.


- Bachelor's degree in Supply Chain Management, Logistics, Management, Industrial Engineering, or a related field.
- Proficiency in Excel and Google Sheets and warehouse management software.


- Monday to Saturday: 8:00 AM - 5:00 PM or 8:30 AM - 5:30 PM with a lunch break from 11:45 AM - 1:00 PM (Alternative schedule for Saturday).



))","Hát Môn, Phúc Thọ, Hà Nội, Việt Nam",Hà Nội,trưởng phòng kho vận thu nhập từ 30  40 triệu/tháng  đi làm ngay,Logistics,Operations,Mid,"['Warehouse Management', 'Logistics Planning', 'Inventory Management', 'Team Management', 'Excel', 'Google Sheets']",Bachelor,['Vietnamese'],Full-time,0.9,3.0,5.0
Sales Supervisor GT - Huế (Hương Thủy),Trang Văn hóa công ty,"- Manage sales
- Develop market expansion plans
- Drive execution of plans
- Build and develop sales team
- Supervise team performance
- Train new employees
- Connect with customers and improve service quality
- Bachelor's or Associate's degree or higher
- Familiar with the region being managed
- At least 2 years of experience in sales and distribution of candy products
- Honest, good communication skills, management and supervision ability
- Passionate about sales, able to handle work pressure","65 Xóm Chùa 1 , Chiếc Bi , Phú Thượng , Phú Vang , TP. Huế",,sales supervisor gt  huế (hương thủy),Manufacturing,Sales,Mid,"['Sales Management', 'Team Leadership', 'Market Expansion', 'Customer Relationship Management']",Bachelor,['Vietnamese'],Full-time,0.85,2.0,
Finance Controller - Kiểm Soát Tài Chính (Kế Toán Trưởng),Công Ty TNHH Một Thành Viên Relats Viêt Nam,"- Manage and supervise the company's accounting system.
- Monitor and optimize cash flow, working capital, fixed assets, CAPEX, and inventories.
- Analyze and improve balance sheet ratios.
- Handle tax declarations, payments, and finalizations.
- Prepare and execute audited financial statements and transfer pricing reports.
- Coordinate internal departments and external audits.
- Ensure legal compliance in all financial activities.
- Establish and monitor the internal control system.
- Lead automation and digitalization of financial processes.
- Ensure effective integration of SAP (FI, CO) and other ERP systems.
- Provides financial insights and recommendations.
- Prepare accurate and timely financial statements, management reports, profitability analysis, and cash flow forecasts.
- Train and guide new finance/accounting staff.
- Bachelor's degree (major in accounting).
- Minimum 2 years of experience in a similar position.
- Excellent understanding of Vietnamese accounting principles.
- Good working level of English.
- Experience working with SAP financial modules.
- Strong skills and hands-on experience with Excel, Power BI, and other reporting tools.
- Monday to Friday, 8AM to 5PM (Friday close at 4PM)
- Send your CVs/resume via email Vietnamworks.","Lô 18 Đường số 8, KCN, Điện Bàn, Quảng Nam; Da Nang, Vietnam",Đà Nẵng,finance controller  kiểm soát tài chính (kế toán trưởng),Finance,Finance,Mid,"['Financial Reporting', 'Financial Analysis', 'Tax', 'SAP', 'Excel', 'Power BI']",Bachelor,"['English B1', 'Vietnamese']",Full-time,0.95,2.0,
Senior Manager Trade Planner,Trang Văn hóa công ty,"- Coordinate trade calendar across all channels (Merchandise, Sales growth, Stores, E-commerce).
- Plan and sequence promotions, seasonal events, and campaigns.
- Coordinate with Merchandising, Marketing, Supply Chain, Store Operations, and Finance.
- Ensure all promotions are commercially sound and aligned with margin targets
- Implement robust approval and compliance processes for promotions and campaigns
- Perform post-promotion analysis to measure effectiveness.
- 6+ years’ experience in retail trade planning, merchandising, or category management, with at least 2 years in a managerial capacity.
- Strong commercial and financial acumen.
- Proficient in Excel, BI tools (Power BI, Tableau), and ERP/POS systems.
- Bachelor’s degree in Business, Marketing, or related field.","14th Floor, Phu My Hung Tower, Tan Phu Ward, HCMC",,senior manager trade planner,Retail,Product,Senior,"['Trade Planning', 'Merchandising', 'Category Management', 'Excel', 'BI Tools', 'ERP', 'POS']",Bachelor,[],Full-time,0.95,6.0,
Internal Auditor - Ha Noi City (Kiểm Toán Viên Nội Bộ - Hà Nội),Ngân Hàng TNHH Indovina – Hội Sở,"- Performing internal audit activities as per assignment
- Preparing personal plans at weekly, monthly, and yearly intervals based on job and KPIs assigned
- Reporting job performance and KPIs to the Head of Internal Audit Department (IAD)
- Processing monitoring data of IVB and Branches' activities bi-weekly
- Supporting the Board of Control (BOC) in monitoring tasks, including supervising investment projects, fixed asset purchases, financial status assessments, compliance with regulations, and annual review of internal regulations.
- Conducting audits/reviews related to information technology and other activities at Indovina Bank units when required
- Preparing reports and completing other tasks assigned by the BOCs or Head of IAD
- Bachelor’s degree or above in economics, business administration, law, accounting, or auditing
- Good knowledge of banking laws and good moral qualities
- Excellent communication, teamwork, problem-solving, and report writing skills
- Proficiency in office computing (Word, Excel), and big data analysis
- Fluent English with strong reading and writing skills
- Minimum 2 years of experience in banking, finance, or auditing.","88 Hai Ba Trung Street, Cua Nam Ward, Hoan Kiem District, Hanoi City",,internal auditor  ha noi city (kiểm toán viên nội bộ  hà nội),Finance,Finance,Junior,"['Internal Audit', 'Banking Law', 'Financial Analysis', 'Data Analysis', 'Excel', 'Report Writing', 'Communication']",Bachelor,"['English B1', 'Vietnamese']",Full-time,0.9,2.0,
Branch Manager/ Giám đốc Chi nhánh - Ho Chi Minh City Region/Khu vực TP.HCM,Ngân Hàng TNHH Indovina – Hội Sở,"- Managing and executing operations of Branch and subsidiary Transaction Offices
- Setting up and implementing business and expense plans
-  Managing service delivery to corporate and individual customers
-  Ensuring compliance with relevant regulations and business processes
- Selecting, training, and managing employees
-  Periodically reporting

- Knowledge of banking operations, compliance control, AML
-  Knowledge of macroeconomics, finance, banking
-  Knowledge of credit risk management
-  Knowledge of the bank's products and services
-  English proficiency: TOEIC 600 and above or equivalent

- Minimum of 5 years' experience in credit institutions, with at least 2 years in management positions 
- University degree in Economics, Finance, Banking, Business Administration, or related fields.","Head Office - 97A Nguyen Van Troi St., Ward 11, Phu Nhuan Dist., HCMC",,branch manager/ giám đốc chi nhánh  ho chi minh city region/khu vực tp.hcm,Finance,Management,Senior,"['Banking Operations', 'Compliance', 'AML', 'Credit Risk Management', 'Leadership', 'Team Management']",Bachelor,['English'],Full-time,0.95,5.0,
Chuyên Viên Kỹ Thuật Hiện Trường (Xddd/mep),Công Ty Cppt & ĐT Xây Dựng Vincons,"- Oversee construction site operations, including direct labor work
- Inspect and manage cost estimates, construction methods, preparation work, deadlines, and standards
- Guide and supervise teams in construction execution, ensuring adherence to protocols, blueprints, and drawings; identify and rectify errors
- Conduct internal quality control and quantity acceptance with teams and project inspection teams; finalize documentation
- Verify and oversee settlement documentation with teams and subcontractors; monitor construction contract payment processes (payments, penalties, deductions) and manage expenditures for construction activities
- Perform other assigned tasks by management

- Experience in direct construction work preferred, with strong understanding and control of construction processes
- Proficiency in basic computer software and relevant applications (Autocad, Project, quantity calculation software)
- Eagerness to learn, enthusiasm, and responsibility

-  Not specified 

- Not specified 

- Not specified 


- Potential for permanent employment after a two-month probationary period","Các dự án xây dựng Vinhomes trên Toàn quốc; Vinhomes Vũ Yên, Hải Âu 2, Vĩnh Niệm, Lê Chân, Hải Phòng, Việt Nam; VinHomes Hậu Nghĩa, TT. Hậu Nghĩa, H. Đức Hòa, Long An",H. Đức Hòa,chuyên viên kỹ thuật hiện trường (xddd/mep),Manufacturing,Operations,Mid,"['Construction Management', 'Quality Control', 'Autocad', 'Project Management Software']",College,['Vietnamese'],Full-time,0.8,,
[Quận 12 - Thủ Đức] Kế Toán Trưởng,Công Ty TNHH Thanh Thùy,"- Organizing and standardizing accounting - finance processes: purchase/payment/sales & invoices/receipt/inventory/cost calculation/reporting;
- Closing monthly/quarterly/annual books, preparing financial statements & management reports (P&L, cash flow);
- Managing tax (VAT, CIT, PIT); managing electronic invoices; working with tax/auditing;
- Controlling cost and inventory; coordinating with Production/Logistics to optimize costs;
- Preparing budget, forecasting 13-week cashflow; managing receivables, credit limits, interest/fees;
- Leading the accounting team; operating/standardizing ERP & data.
- Bachelor's degree in Accounting/Finance; Certified Accountant qualification (CPA preferred)
- 7-10 years of experience in manufacturing; ≥3 years of management experience
- Knowledge of cost - inventory - tax
- Proficiency in ERP/Excel; numerical thinking, document discipline; good communication & coordination skills
- Honesty - meticulousness - proactiveness - ability to work under pressure deadlines
- Mon - Sun | 7:30 - 5:00 PM | Sunday off","2827/3A Quốc lộ 1A, P. An Phú Đông, Q.12, TP.HCM",Hồ Chí Minh,[quận 12  thủ đức] kế toán trưởng,Manufacturing,Finance,Senior,"['Accounting', 'Tax', 'Cost Management', 'Inventory Management', 'ERP', 'Excel']",Bachelor,['Vietnamese'],Full-time,0.95,7.0,10.0
Sales Engineer,"Panasonic Vietnam Co.,ltd","- Liaise with customers and head office regarding Electro Mechanical Control (EMC) Components products.
- Manage and follow up with key accounts in the North Vietnamese market.
- Generate new business opportunities with designers and end-users.
- Negotiate and manage distributors to expand market presence.
- University degree in Electrical/Electronic Engineering or related field.
- Good English communication skills.
- Minimum 2 years of B2B sales and marketing experience for electrical/electronics products.
- Understanding of Automation Control products.
- Strong customer service, organizational, and marketing skills.
- Willingness to travel domestically and internationally.","Plot J1-J2, Thang Long Industrial Park, Kim Chung, Dong Anh, Hanoi",,sales engineer,Others,Sales,Mid,"['Sales Engineering', 'Business Development', 'Communication', 'Customer Service', 'Marketing']",Bachelor,['English'],Full-time,0.8,2.0,
Sales Engineer,"Panasonic Vietnam Co.,ltd","- Liaise with customers and head office regarding Electro Mechanical Control (EMC) Components products.
- Manage and follow up with key accounts in the North Vietnamese market.
- Generate new business opportunities with designers and end-users.
- Negotiate and manage distributors to expand market presence.
- University degree in Electrical/Electronic Engineering or related field.
- Good English communication skills.
- Minimum 2 years of B2B sales and marketing experience for electrical/electronics products.
- Understanding of Automation Control products.
- Strong customer service, organizational, and marketing skills.
- Willingness to travel domestically and internationally.","Plot J1-J2, Thang Long Industrial Park, Kim Chung, Dong Anh, Hanoi",,sales engineer,Sales,Sales,Mid,"['Communication', 'Problem-solving', 'Customer Service', 'Marketing', 'Sales Engineering', 'Technical Presentation']",Bachelor,['English'],Full-time,0.8,2.0,3.0
Import Export Executive (Chuyên Viên Xuất Nhập Khẩu),Tam Son International Joint Stock Company,"- Manage vouchers, HS code, and tax code applications for 4-5 brands.
- Declare import and export customs declarations on Vnaccs software.
- Prepare documents and pay taxes for non-commercial shipments via CPN (FedEx, DHL, UPS, TNT).
- Prepare documents and work with state agencies on import permits (CITES, cultural, textile).
- Follow up arrival schedules and notify warehouses/stores about shipments.
- Understand import and export procedures, commercial law, and Incoterms.
- Responsible for temporary export/re-import procedures for repaired items.
-  Bachelor's degree (or higher) in International payment, International Economics, Foreign Trade, Import-Export, Logistics, or related fields.
- Minimum 4 years of relevant experience.
- English proficiency is a plus.","Số nhà 21, Ngõ Lê Văn Hưu 2, Hai Bà Trưng, Hà Nội",Hà Nội,import export executive (chuyên viên xuất nhập khẩu),Logistics,Operations,Mid,"['Import-Export', 'Customs', 'Documentation', 'Incoterms']",Bachelor,"['English', 'Vietnamese']",Full-time,0.95,4.0,
Accounting Officer (Tax),"Panasonic Vietnam Co.,ltd","* Prepare monthly tax declarations and payments (Withholding Tax, Special Consumption Tax, householder tax, etc.)
* Coordinate with tax authorities on tax-related issues.
* Update and analyze tax regulations, advising internal departments on tax impact and liabilities.
* Perform month-end reconciliation for accounts in SAP.
* Contribute to the preparation of monthly, quarterly, and annual financial statements.
* Ensure compliance with all internal and external reporting requirements.

* Familiarity with SAP system preferred.
* Understanding of Vietnamese tax regulations and procedures.
* >2 years experience in a similar role at a foreign company is advantageous.

* Excellent problem-solving skills, teamwork, and ability to work under pressure.","13th Floor, Charmvit Tower, 117 Tran Duy Hung, Cau Giay, Ha Noi",Hà Nội,accounting officer (tax),Finance,Finance,Junior,"['Tax Accounting', 'Tax Consulting', 'SAP', 'Financial Reporting', 'Vietnamese Tax Law']",College,"['Vietnamese', 'English B1']",Full-time,0.85,2.0,
Business Analyst Executive (ERP and Internal System Implementation),Alliance Construction & Fine Furniture Company LTD,"* Coordinate deployment and user enablement of internal system integrated with Microsoft Dynamics ERP
* Deliver user training, develop user guides, and provide post-go-live support
* Act as first-line support for user issues
* Gather business requirements for enhancements or new features
* Document workflows, business processes (as-is/to-be), SOPs, and training materials 
* Analyze process gaps and inefficiencies, recommending improvements
* Participate in User Acceptance Testing (UAT)
* Collaborate with department heads, ERP developers, and other stakeholders
* Communicate clearly with non-technical users
* Bachelor’s degree in Business, Information Systems, Industrial Engineering, or related field  
* Minimum 1 year of experience as a Business Analyst, ERP Support Specialist, or similar role","56 - 58 Đường Võ Oanh, Phường Thạnh Mỹ Tây, TPHCM",,business analyst executive (erp and internal system implementation),Manufacturing,Product,Junior,"['Business Analysis', 'ERP Systems', 'Project Management', 'Requirements Gathering', 'User Training', 'Process Analysis']",Bachelor,['English B1'],Full-time,0.95,1.0,
Taiwanese/ Chinese Sales Supervisor (Only Native),Trang Văn hóa công ty,"- Take care of existing Chinese customers
- Source and develop new Chinese customers
- Research market trends, trade development, and opportunities
- Develop and manage sales plans with Sales Managers
- Create sales proposals and coordinate with relevant departments
- Report to Sales Manager
- Execute other tasks assigned by the Sales Manager

- Direct sales experience in Vietnam
- Business level English
- Basic Vietnamese (preferred)
- Strong organizational, planning, analytical, communication, negotiation, and presentation skills
- University degree

- Full-time","Hà Nội, Vietnam",Hà Nội,taiwanese/ chinese sales supervisor (only native),Others,Sales,Mid,"['Direct Sales', 'Customer Service', 'Communication', 'Negotiation', 'Analytical Skills']",Bachelor,"['Business English', 'Vietnamese']",Full-time,0.8,,
"HVAC Engineer (Kỹ Sư Điều Hòa Không Khí, Nhiệt Lạnh) (500-1000 USD) [Thưởng 2 Lần/ Năm]",Công Ty TNHH Kỹ Thuật Taikisha Việt Nam,"- Designs, installs, tests, operates, maintains, and performs services for HVAC systems, such as ventilation, air conditioning, heating; water systems; fire suppression; and utility systems in factories, industrial parks, etc.
- Creates and manages schedules for engineers and subcontractors on-site.
- Assists in preparing cost estimates, quantity takeoffs, technical drawings, and procurement related to project execution.
- Verifies and reviews all technical reports (maintenance, service, troubleshooting).
- Performs other tasks as assigned by the project manager.
- 1 year of relevant experience preferred (new graduates considered) 
- Bachelor's degree in Engineering
- Proficiency in computer skills, including Excel, Word, PowerPoint, and preferably AutoCAD Revit.
- Basic English communication skills with the ability to read technical drawings. 
-  Employment type: Full-time","Vĩnh Phúc, Vietnam; Hà Nam, Viet Nam; Quảng Ninh, Vietnam",Viet Nam; Quảng Ninh,"hvac engineer (kỹ sư điều hòa không khí, nhiệt lạnh) (5001000 usd) [thưởng 2 lần/ năm]",Manufacturing,Engineering,Junior,"['HVAC', 'Design', 'Installation', 'Maintenance', 'Project Management', 'AutoCAD', 'Revit']",Bachelor,"['English B1', 'Vietnamese']",Full-time,0.95,0.0,1.0
Direct Sales Executive B2B (Đà Nẵng - Cần Thơ - HCM ),Trang Văn hóa công ty,"- Search potential customers
- Consult customers about company products
- Introduce and sell products to customers
- Set up and manage sales and consulting plans for assigned customers
- Monitor industry, market trends, and competitor activities
- Make monthly reports and present to Manager and Branch Manager
-  1-2 years of sales experience
- University/College degree
- Good communication in English and computer literacy
- Willingness to travel (preferred)",Đà Nẵng,Đà Nẵng,direct sales executive b2b (đà nẵng  cần thơ  hcm ),Sales,Sales,Junior,"['Sales', 'B2B Sales', 'Customer Relationship Management', 'Market Analysis', 'Communication']",College,"['English', 'Vietnamese']",Full-time,0.9,1.0,2.0
Technical Service Engineer BD (Open to Freshers),Trang Văn hóa công ty,"* Perform maintenance and repairs on assigned products, including technical diagnostics, break/fix, installation, removal, and customer call assistance. 
* Assist in ordering parts, stocking, and inventory control.
* Train end users in proper care and use of copiers, including phone support, in-house training, and explanation of service performed. 
* Manage inventory of parts, call activity, and perform associated administrative tasks.
* Provide customer training on assigned products.
* Ensure customer satisfaction. 
* Input work order data and labor into a computer tracking system.
* 2-3 years of experience in a similar business (freshers considered).
* Good technical knowledge and troubleshooting skills.
* Strong planning and analytical skills.
* Good communication, negotiation, and presentation skills.
* Well-organized with a high sense of responsibility and teamwork.
* Good English communication for business trips.","Đắk Lắk, Vietnam; Ho Chi Minh; Binh Duong, Vietnam",Vietnam; Ho Chi Minh; Binh Duong,technical service engineer bd (open to freshers),Others,Other,Junior,"['Troubleshooting Skills', 'Technical Service', 'Customer Support', 'Repair', 'Inventory Management']",No requirement,['English'],Full-time,0.8,0.0,3.0
Senior/middle QC Engineer/ Tester,CÔNG TY CỔ PHẦN VINSMART FUTURE,"- Design and execute test cases for AI assistant features including voice control, information retrieval, natural interaction, and personalization.
- Test on physical devices (IVI, cars) and simulators (emulators, HMI test benches).
- Ensure multi-platform and multilingual support (Vietnamese, English), regional accents, and offline scenarios.
- Test conversational AI aspects like NLP accuracy, intent understanding, context management, and multi-turn dialogues.
- Suggest and/or develop UI or API automation frameworks for testing.
- Analyze logs, processing flows, and JSON output to interact with backend systems.
- Track bugs on Jira/Redmine, analyze trend reports for quality improvements, and provide regular quality reports.
- Support testing over-the-air (OTA) updates.
- 2+ years of QC experience in software development, preferably in AI, voice, or embedded systems.
- Familiarity with software testing processes, test case writing, and bug tracking.
- Proficiency in English.","Toà nhà Văn phòng Symphony, Phố Chu Huy Mân, Vinhomes Riverside, Phúc Lợi, Long Biên, Hà Nội, Việt Nam; TechnoPark Tower, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, Việt Nam",Hà Nội,senior/middle qc engineer/ tester,IT,QA,Mid,"['Test Automation', 'Software Testing', 'Bug Tracking', 'Jira', 'Test Case Writing']",Bachelor,['English'],Full-time,0.9,2.0,
Nhân Viên Thiết Kế PLC,Công Ty TNHH Vinatech Vina,"• Create electrical panel design drawings.
• Write and debug programs for automation machines.
• Provide support for equipment repairs to ensure production.
• Bachelor's or associate's degree in an engineering field.
• Experience programming PLCs to control servo motors, step motors, and Inverters.
• Prior experience programming with Mitsubishi PLCs.","Hà Liễu, Phương Liễu, Quế Võ, Bắc Ninh",,nhân viên thiết kế plc,Manufacturing,Engineering,Junior,"['PLC Programming', 'Electrical Design', 'Servo Motors', 'Step Motors', 'Inverter Setting']",Bachelor,['Vietnamese'],Full-time,0.85,,
Trưởng Phòng Kế Hoạch - Đầu Tư,Tập Đoàn Sun Group - Vùng Miền Bắc,"- Manage operational tasks of different project fields: investment planning, project legal, total investment - estimate - settlement, construction management.
- Ensure coordination between departments to guarantee the overall project progress.
- Report periodically/as needed on the project status to the Board of Directors.
- Develop the project implementation plan from the initial proposal stage to the completion of all legal procedures.
- Manage overall legal planning, ensuring the progress of procedures: investment proposal, planning, land, construction, environmental.
- Consult with government agencies when required.
- Advise the Board of Directors on legal matters related to major project decisions.
- Review, approve the total investment and budget estimates.
- Control costs, adjust the total investment, and ensure financial efficiency.
- Oversee payment and settlement, work with auditors and control the contracts.
- Monitor project progress, quality, and volume through the construction management office.
-    Manage the construction schedule, acceptance documents, and volume payment.
- Resolve problems arising at the construction site and coordinate with contractors, consultants, and management agencies.
- Represent the Investor in the progress and completion acceptance.
- Bachelor's degree in construction economics, construction, or investment economics.
- In-depth knowledge of construction economics, investment planning and implementation.
- Familiarity with laws and regulations related to investment, construction, land, housing, and natural resources.
-  Excellent analytical, evaluation, and information synthesis skills.
- Proficiency in using office software.
- Read/write English to meet job requirements.
- At least 5 years of experience in construction investment consulting, construction economics, or bidding.
- At least 3 years of management experience.",Bắc Ninh; Ha Noi,Hà Nội,trưởng phòng kế hoạch  đầu tư,Manufacturing,Operations,Senior,"['Investment Planning', 'Project Management', 'Construction Management', 'Cost Control', 'Legal Compliance', 'Analytical Skills', 'Communication']",Bachelor,"['English', 'Vietnamese']",Full-time,0.95,5.0,
Chỉ Huy Trưởng Công Trình Điện (M&E),Công Ty Cổ Phần Công Nghiệp Lme,"- Execute and oversee electrical networks construction projects in various environments (medium voltage, low voltage, underground, etc.)
- Manage and coordinate activities within the construction field office.
- Develop and submit construction plans and schedules to the Management Board and Investor.
- Conduct surveys, manage, and monitor the execution of electrical infrastructure construction projects, including power supply systems (24kV/380V).
- Oversee and ensure the quality of construction carried out by construction teams and subcontractors.
- Inspect, monitor technical aspects, progress, and quality of projects.
- Manage the overall implementation of construction projects, ensuring adherence to deadlines, quality standards, and regulations. 
- Prepare daily progress reports for the Board of Directors and directly handle or propose solutions to issues promptly.
- Communicate with relevant parties on behalf of the company, including investors, consultants, contractors, and suppliers.
- Prepare and submit financial plans within assigned responsibilities.
- Review and check payment documentation for the construction team, subcontractors, and suppliers before submission to the Board of Directors.
- Bachelor's degree in Electrical Engineering or Automation. 
- 5 years of experience in construction management and project leadership for electrical infrastructure projects.
- Building construction professional license Level 2 or higher
- Vietnamese","Hà Nội, Vietnam; Bac Giang, Vietnam",Hà Nội,chỉ huy trưởng công trình điện (m&e),Manufacturing,Operations,Senior,"['Construction Management', 'Project Leadership', 'Electrical Engineering', 'Automation', 'Regulations Compliance']",Bachelor,['Vietnamese'],Full-time,0.95,5.0,
Kỹ Sư Cơ Điện Công Trình – Giám Sát Cơ Điện (M&E),Công Ty Cổ Phần Công Nghiệp Lme,"• Receiving and implementing electrical system installations at construction sites

• Organizing and managing subcontractors

• Monitoring the quality and process of construction work by crews and subcontractors

• Creating Shop drawings and implementing mechanical/electrical construction drawings

• Designing construction drawings, including electrical panel layouts, and defining material quantities

• Conducting quantity and work completion inspections ensuring compliance with design, standards, and contractual agreements

• Completing work completion reports and project handover documentation

• Three to five years of relevant experience in a similar position

• Bachelor's degree, Associate's degree or technical diploma in Electrical Engineering, Mechanical Engineering, or Automation

•","Hà Nội, Vietnam; Bac Giang, Vietnam",Hà Nội,kỹ sư cơ điện công trình  giám sát cơ điện (m&e),Construction,Engineering,Junior,"['Electrical Engineering', 'Mechanical Engineering', 'Construction Management', 'Project Management', 'Shop Drawings']",Bachelor,['Vietnamese'],Full-time,0.9,3.0,5.0
Chuyên Viên Tín Dụng Doanh Nghiệp,Ngân Hàng Kookmin - Chi Nhánh Hà Nội,"- Preparing credit documentation and processing loan transactions.
- Managing and reviewing credit files for accuracy.
- Processing collateral management tasks.
- Collaborating with corporate customers on credit assessment, proposals, and execution.
- Filing customer loan documents.
- Reporting on tasks, work quality, and business performance.
- Generating loan reports and other reports for SBV and Head Office.
- Bachelor of Economics, Finance, or a related field.
- 1-2 years of experience in corporate credit/loan or a similar field.
-  Good knowledge of lending procedures, loan review, and risk management (preferred).
- Excellent interpersonal and communication skills in English or Korean (Speaking & Writing).","Tầng 25, Keangnam Landmark Tower, Mễ Trì, Nam Từ Liêm, Hà Nội.",Hà Nội,chuyên viên tín dụng doanh nghiệp,Finance,Finance,Junior,"['Credit Analysis', 'Loan Processing', 'Collateral Management', 'Risk Management', 'Report Generation', 'Communication']",Bachelor,"['English', 'Vietnamese']",Full-time,0.9,1.0,2.0
CVCC Đào Tạo Và Phát Triển ( Mảng Thu Hồi Nợ) - TA140,Trang Văn hóa công ty,"- Design and develop training programs and materials based on organizational needs
- Conduct training sessions (online and offline) and manage training logistics
-  Develop e-learning content, training presentations, and assessment tools
- Measure training effectiveness and propose improvements
- Participate in talent development projects related to debt recovery
- Train and mentor other team members

- Proficient in MS Office Suite (PowerPoint, Word, Excel, Outlook), with experience in design software (preferred)
- Excellent communication, persuasion, and interpersonal skills
- Strong organizational and time management abilities
- Problem-solving and analytical skills
- Ability to design and deliver engaging training activities

- Minimum 2 years of experience in a similar role
- 1-2 years of experience in the debt recovery sector preferred

- Bachelor's degree or higher in fields such as Human Resource Management, Law, Economics, Finance, or related disciplines

- Vietnamese","Quận Cầu Giấy, Hanoi, Vietnam",Hà Nội,cvcc đào tạo và phát triển ( mảng thu hồi nợ)  ta140,Finance,HR,Junior,"['Training', 'Instruction Design', 'Microsoft Office Suite', 'Communication', 'Presentation', 'Interpersonal Skills']",Bachelor,['Vietnamese'],Full-time,0.85,2.0,
Nhân Viên Kế Toán - Làm Việc Hà Nội (Lương Cơ Bản &gt;9Tr),Công Ty TNHH CP DHU,"- Hạch toán các nghiệp vụ kinh tế phát sinh
- Tập hợp hồ sơ chi phí phát sinh hàng tháng
- Theo dõi chi tiết công nợ phải thu, phải trả của khách hàng
- Lập và làm các báo cáo thuế hàng tháng, quí
- Lên bảng cân đối phát sinh lỗ lãi, trích lương, đóng và làm việc với bảo hiểm xã hội
- Làm các thanh toán trong và ngoài nước
- Làm việc với cơ quan thuế, bảo hiểm, giao dịch ngân hàng
- Kiểm kê kho định kỳ 
- Bachelor's degree in Accounting, Auditing from Economics, Foreign Trade, Banking, Finance
- Minimum 2 years of accounting experience
- Proficiency in Misa, G9 accounting software
- Proficiency in Word, Excel, Misa e-invoice software, Newinvoice","Tầng 4, tòa nhà 101 Láng Hạ, quận Đống Đa, Hà Nội",Hà Nội,nhân viên kế toán  làm việc hà nội (lương cơ bản &gt;9tr),Finance,Finance,Junior,"['Accounting', 'Bookkeeping', 'Misa', 'Excel', 'Accounting Software']",Bachelor,['Vietnamese'],Full-time,0.9,2.0,
"Nhân Viên Quan Hệ Khách Hàng Doanh Nghiệp (Hà Nội, Hải Phòng, Đà Nẵng)",Trang Văn hóa công ty,"- Seek out, contact, and meet with clients to introduce financial leasing services.
- Expand and maintain relationships with existing and potential clients.
- Conduct preliminary credit checks.
- Propose suitable financial leasing solutions for each client.
- Bachelor's/Associate's degree (major in Banking, Finance, Economics, Accounting, Business Administration, International Trade is an advantage).
- Proficiency in English or Chinese.
- Excellent communication, positive attitude, responsible, honest, willingness to accept challenges, learn quickly, and disciplined.
- Fresh graduates are welcome.
- 5-day workweek from Tuesday to Saturday.  
.","Tầng 20, CEO Tower HH2-1 Ðường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội; Hải Phòng, Việt Nam; Đà Nẵng, Vietnam",Hà Nội,"nhân viên quan hệ khách hàng doanh nghiệp (hà nội, hải phòng, đà nẵng)",Finance,Sales,Junior,"['Financial Leasing', 'Sales', 'Client Relationship Management', 'Credit Analysis']",Bachelor,"['English', 'Vietnamese']",Full-time,0.8,,
"Director, Distribution Planning (Techcom Life)",Trang Văn hóa công ty,"- Planning and operating Distribution support functions nationwide, including contract code issuance, system access authorization, business task handling, and CRM and digital platform support.
- Operational strategy development for the Distribution support block in alignment with distribution orientation, growth strategy, and organizational development roadmap.
- Designing the sales force onboarding process and support mechanisms.
- Restructuring the organizational model and functional stratification of the Distribution support department.
- Establishing operating standards and support services for each distribution channel.
- Developing and implementing performance monitoring systems.
- Planning and managing human resources (headcount, costs) for the function.
- Attracting, onboarding, and retaining talent.
- Establishing KPIs, goals, expectations, and results for team members.
- Managing team performance and providing feedback.
- Bachelor's or Master's degree in Business Administration, Finance, Insurance, or a related field.
- Professional certificates or specialized training related to sales enablement, CRM system management, or contest program development preferred.
- At least 8 years of experience in life insurance, including a minimum of 4 years in senior leadership roles managing licensing, contest strategy, sales quality, and capability development across multiple distribution channels.
- Proven experience in designing nationwide sales support frameworks and collaborating with external bodies (e.g. Ministry of Finance, bancassurance partners, auditors).","119 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội",Hà Nội,"director, distribution planning (techcom life)",Finance,Product,Director,"['Sales Enablement', 'CRM System Management', 'Leadership', 'Strategy Development', 'Team Management']",Master,['Vietnamese'],Full-time,0.95,8.0,
